Topic,Description,Tags,date,author
Crab-eating raccoon,"Supplement L Radial Art with Nonaut Sub, Perc Endo Approach",Procyon;cancrivorus,7/18/2021,Melloney Ferrettini
"Bird, red-billed tropic","Revision of Autol Sub in Cerv Disc, Perc Approach",Phaethon;aethereus,11/13/2021,Nestor Piatek
"Lion, california sea","Introduce of Liquid Brachy into Male Reprod, Perc Approach",Zalophus;californicus,8/3/2021,Barrett Robinette
"Kangaroo, western grey","Occlusion L Up Extrem Lymph w Extralum Dev, Open",Macropus;fuliginosus,5/24/2021,Annabal Rosewell
"Cardinal, black-throated","Replacement of Right Iris with Nonaut Sub, Perc Approach",Paroaria;gularis,7/22/2021,Devlin Driffill
"Booby, blue-footed","Insertion of Intraluminal Device into Rectum, Endo",Sula;nebouxii,4/28/2021,Fernande Petett
Spur-winged goose,"Bypass Esophagus to Ileum with Autol Sub, Open Approach",Plectopterus;gambensis,2/27/2022,Gwynne Mogie
"Dolphin, striped","Extraction of Left Ethmoid Sinus, Open Approach",Stenella;coeruleoalba,8/31/2021,Cameron Studde
"Shrew, mandras tree","Drain of Pelvic Subcu/Fascia with Drain Dev, Open Approach",Anathana;ellioti,7/11/2021,Chrissie Manuelli
"Marshbird, brown and yellow","Drainage of R Metatarsophal Jt, Perc Endo Approach",Pseudoleistes;virescens,8/10/2021,Karolina Gilstoun
Little brown bat,"Placement, Anatomical Regions, Removal",Myotis;lucifugus,12/27/2021,Ebenezer Seleway
"Dog, raccoon","Excision of Bilateral Lungs, Perc Endo Approach, Diagn",Nyctereutes;procyonoides,9/17/2021,Buddy Parell
"Fox, bat-eared","Repair Left Temporal Artery, Percutaneous Approach",Otocyon;megalotis,11/14/2021,Holly Paris
Southern hairy-nosed wombat,"Removal of Extralum Dev from Vas Deferens, Perc Approach",Lasiorhinus;latifrons,4/29/2021,Evita Pietz
"Hawk-eagle, crowned","Bypass Cereb Vent to Cereb Cistern w Synth Sub, Open",Spizaetus;coronatus,12/7/2021,Abdel Innocent
"Cat, civet","Heart and Great Vessels, Transplantation",Bassariscus;astutus,10/24/2021,Payton Hayton
Arboral spiny rat,"Revision of Other Device in Upper Back, Open Approach",Echimys;chrysurus,7/16/2021,Sophi Yele
"Hyena, brown","Revision of Nonaut Sub in L Tarsal Jt, Perc Approach",Hyaena;brunnea,3/28/2022,Saree Lucien
Ring-tailed possum,"Introduce of Oth Anti-infect into Resp Tract, Perc Approach",Pseudocheirus;peregrinus,2/7/2022,Mora Keppie
Common waterbuck,"Removal of Drain Dev from Thyroid Gland, Extern Approach",Kobus;defassa,8/23/2021,Nataniel Sherratt
Moose,"Insertion of Intralum Dev into Pancreat Duct, Open Approach",Alces;alces,10/15/2021,Reinald McMorland
"Porcupine, crested","Resection of Paraganglion Extremity, Perc Endo Approach",Hystrix;cristata,11/1/2021,Florance Derry
"Wagtail, african pied","Repair Left Fallopian Tube, Percutaneous Approach",Motacilla;aguimp,2/21/2022,Celene Stable
"Kiskadee, great","Replacement of L Subclav Vein with Synth Sub, Open Approach",Pitangus;sulphuratus,3/1/2022,Ernesta Jakubski
Palm squirrel,"Bypass R Popl Art to Low Ex Vein w Synth Sub, Perc Endo",Funambulus;pennati,11/9/2021,Skipton Colbridge
"Lion, steller sea","Reposition Left Sternoclavicular Joint, Perc Approach",Eumetopias;jubatus,12/22/2021,Dalt Penhalewick
Small-spotted genet,"Reattachment of Upper Tooth, Single, External Approach",Genetta;genetta,11/7/2021,Zebadiah Monro
Common eland,"Drainage of R Int Carotid, Perc Endo Approach",Taurotagus;oryx,1/10/2022,Herminia Prendergrass
"Sungazer, yellow-brown","Excision of Right Renal Artery, Open Approach, Diagnostic",Cordylus;giganteus,10/17/2021,Xylia Meran
"Heron, goliath","Division of Left Hand Tendon, Open Approach",Ardea;golieth,3/29/2022,Isidora Darnborough
Greater sage grouse,"Dilate L Radial Art, Bifurc, w Intralum Dev, Open",Centrocercus;urophasianus,4/19/2021,Rochette Blackey
"Armadillo, common long-nosed","Reattachment of Gallbladder, Perc Endo Approach",Dasypus;novemcinctus,7/25/2021,Florette Atger
Asian water buffalo,"Drainage of Right Trunk Muscle, Perc Endo Approach, Diagn",Bubalus;arnee,1/1/2022,Marissa Kybbye
Violet-crested turaco,"Destruction of Right Femoral Artery, Open Approach",Tauraco;porphyrelophus,8/6/2021,Consolata Dunsire
Bat-eared fox,"Bypass R Pulm Art from Innom Art w Autol Art, Open",Otocyon;megalotis,12/15/2021,Lenore Guillon
Snowy owl,"Dilation of Upper Artery with 2 Drug-elut, Open Approach",Nyctea;scandiaca,1/3/2022,Pietrek Dinnis
Grizzly bear,LDR Brachytherapy of Liver using Palladium 103,Ursus;arctos,6/29/2021,Mariel Phateplace
"Toucan, red-billed","Dilation of R Colic Art with 4 Drug-elut, Perc Endo Approach",Ramphastos;tucanus,12/22/2021,Cathryn Kretchmer
"Phascogale, red-tailed","Revision of Int Fix in L Humeral Shaft, Extern Approach",Phascogale;calura,12/4/2021,Marlee Burtt
"Roadrunner, greater","Bypass R Subclav Art to L Extracran Art w Autol Art, Open",Geococcyx;californianus,5/6/2021,Roscoe Alster
Antelope ground squirrel,"Removal of Drainage Device from Prostate/Seminal Ves, Endo",Ammospermophilus;nelsoni,3/7/2022,Gabriello Woodley
Asian false vampire bat,"Dilation of R Axilla Art with 3 Drug-elut, Open Approach",Megaderma;spasma,5/24/2021,Ettie Page
Cobra (unidentified),"Dilate R Post Tib Art, Bifurc, w Drug-elut Intra, Perc Endo",Naja;sp.,4/3/2022,Merry Cockcroft
"Devil, tasmanian","Insert Endobronch Valve in L Up Lobe Bronc, Perc",Sarcophilus;harrisii,7/6/2021,Karl Courson
"Monkey, rhesus","Excision of Left Shoulder Joint, Open Approach, Diagnostic",Macaca;mulatta,1/5/2022,Herculie Merrikin
"Tern, arctic","Dilation of Vagina, Percutaneous Endoscopic Approach",Sterna;paradisaea,7/17/2021,Marcella Slym
"Fox, bat-eared","Beam Radiation of Thymus using Electrons, Intraoperative",Otocyon;megalotis,7/29/2021,Pia Compston
"Hornbill, southern ground","Occlusion L Subclav Art w Intralum Dev, Perc Endo",Bucorvus;leadbeateri,1/11/2022,Valene Preator
Chameleon (unidentified),"Extirpation of Matter from Right Ulna, Open Approach",Chamaelo;sp.,1/19/2022,Dorine Zum Felde
Eurasian badger,"Occlusion of Right Popliteal Artery, Perc Endo Approach",Meles;meles,12/15/2021,Sarene Swyer
"Iguana, marine",Coord/Dexterity Trmt Musculosk Up Back/UE w Assist Equip,Amblyrhynchus;cristatus,3/21/2022,Simona Dawidman
Coke's hartebeest,"Drainage of L Low Arm & Wrist Muscle, Perc Approach, Diagn",Alcelaphus;buselaphus;cokii,7/13/2021,Kale Marquand
"Kangaroo, jungle","Revise of Autol Sub in L Finger Phalanx Jt, Extern Approach",Macropus;agilis,6/5/2021,Jarad Latliff
European beaver,"Dilate L Ext Carotid, Bifurc, w Intralum Dev, Perc Endo",Castor;fiber,12/24/2021,Samantha Farman
Coyote,"Replacement of Mitral Valve with Zooplastic, Open Approach",Canis;latrans,6/10/2021,Eleen Adran
"Tenrec, tailless","Drainage of Accessory Nerve, Open Approach",Tenrec;ecaudatus,11/30/2021,Byran Finney
Eastern fox squirrel,"Excision of Mesentery, Percutaneous Approach, Diagnostic",Sciurus;niger,5/7/2021,Chen Rosetti
"Wallaby, euro","Revision of Autol Sub in R Low Extrem, Open Approach",Macropus;robustus,12/27/2021,Bobette Jiggins
"Waxbill, black-cheeked","Fragmentation in Anus, Endo",Estrilda;erythronotos,9/2/2021,Earl Clancey
Red-necked phalarope,"Dilate of R Less Saphenous with Intralum Dev, Perc Approach",Phalaropus;lobatus,11/4/2021,Dennie Rallin
"Glider, feathertail","Insert Diaphragm Lead in L Diaphragm, Perc Endo",Acrobates;pygmaeus,4/15/2021,Lauree Assiter
Common shelduck,"Repair Hepatic Vein, Open Approach",Tadorna;tadorna,4/7/2022,Jared Foggo
Horned lark,"Removal of Artificial Sphincter from Urethra, Perc Approach",Eremophila;alpestris,4/13/2022,Etheline Shears
Black-capped capuchin,"Revision of Nonaut Sub in C-thor Jt, Perc Endo Approach",Cebus;apella,2/19/2022,Sigismund Donati
Fork-tailed drongo,"CT Scan of Pelvic Region using Oth Contrast, Unenh, Enhance",Dicrurus;adsimilis,1/31/2022,Vasili Izakof
Sacred ibis,"Reposition R Metatarsophal Jt with Ext Fix, Open Approach",Threskionis;aethiopicus,11/10/2021,Holly Ritchie
"Drongo, fork-tailed","Repair Right External Auditory Canal, Via Opening",Dicrurus;adsimilis,12/2/2021,Valentia Redmille
Common langur,"Drainage of Left Acetabulum, Percutaneous Approach, Diagn",Semnopithecus;entellus,2/17/2022,Virge Ferby
Common seal,"Bypass Pulm Trunk from Subclav w Nonaut Sub, Open",Phoca;vitulina,9/22/2021,Griffith Robinett
"Squirrel, indian giant","Dilation of Left Fallopian Tube, Endo",Ratufa;indica,8/28/2021,Annalise Johannesson
"Cormorant, javanese","Excision of Right Frontal Sinus, Perc Approach, Diagn",Phalacrocorax;niger,8/2/2021,Etty Shadbolt
"Waterbuck, common","Excision of Left Ethmoid Bone, Percutaneous Approach",Kobus;defassa,1/17/2022,Ernie Leopold
American bighorn sheep,"Replace of Esophageal Vein with Nonaut Sub, Open Approach",Ovis;canadensis,4/3/2022,Nester Hackforth
"Cardinal, black-throated","Supplement L Axilla Lymph w Nonaut Sub, Perc Endo",Paroaria;gularis,5/7/2021,Boniface Scain
Trumpeter swan,"Revision of Int Fix in R Radius, Extern Approach",Cygnus;buccinator,2/15/2022,Parry Ellam
"Wallaby, river","Removal of Drainage Device from Face, External Approach",Macropus;agilis,12/17/2021,Leland Eggleston
Northern elephant seal,Change Traction Apparatus on Left Inguinal Region,Mirounga;angustirostris,12/31/2021,Perla Cribbott
Little grebe,"Introduction of Vasopressor into Central Vein, Perc Approach",Tachybaptus;ruficollis,2/20/2022,Isa Timlett
Frilled dragon,"Supplement R Thorax Bursa/Lig with Autol Sub, Open Approach",Chlamydosaurus;kingii,1/22/2022,Hunter Mancell
"Squirrel, richardson's ground","Insert of Hybrid Ext Fix into L Femur Shaft, Perc Approach",Spermophilus;richardsonii,1/31/2022,Barry Gallaway
"Nighthawk, common","Excision of Right Knee Region, Perc Endo Approach, Diagn",Chordeiles;minor,2/8/2022,Job Whale
"Otter, small-clawed","Supplement Cisterna Chyli with Nonaut Sub, Open Approach",Aonyx;cinerea,1/11/2022,Ethelda Muddimer
Crested porcupine,"Fusion T-lum Jt w Intbd Fus Dev, Post Appr A Col, Perc Endo",Hystrix;cristata,3/31/2022,Nikita Petrushanko
"Bird, secretary","Dilate R Ant Tib Art w Drug-elut Intra, Perc Endo",Sagittarius;serpentarius,2/25/2022,Ermanno Borton
Defassa waterbuck,"Bypass 4+ Cor Art from R Int Mammary w Zooplastic, Perc Endo",Kobus;defassa,8/2/2021,Patricio Loveman
Mexican wolf,"Excision of Upper Lip, Percutaneous Approach, Diagnostic",Canis;lupus;baileyi,10/31/2021,Ashia Blowing
"Macaque, pig-tailed","Supplement L Low Lobe Bronc with Synth Sub, Open Approach",Macaca;nemestrina,5/15/2021,Zach Parnby
African fish eagle,"Repair Left Ethmoid Sinus, Open Approach",Haliaetus;vocifer,9/25/2021,Curran Birts
Alpaca,"Dilation of R Brach Art with 2 Drug-elut, Perc Endo Approach",Lama;pacos,3/21/2022,Bryanty Firebrace
Masked booby,"Release Conduction Mechanism, Percutaneous Approach",Sula;dactylatra,3/23/2022,Kenon Kopfer
"Sungazer, yellow-brown","Excision of Left Axilla, Open Approach, Diagnostic",Cordylus;giganteus,4/10/2022,Tera Lochhead
Asian lion,"Alteration of Left Lower Leg, Open Approach",Panthera;leo;persica,10/30/2021,Isa Andreolli
"Deer, black-tailed","Repair Left Ankle Tendon, Percutaneous Approach",Odocoileus;hemionus,5/3/2021,Man Gerardin
Southern lapwing,"Supplement Small Intest with Synth Sub, Perc Endo Approach",Vanellus;chilensis,7/27/2021,Clement Jest
Ringtail,"Replacement of Right Clavicle with Autol Sub, Open Approach",Bassariscus;astutus,1/3/2022,Rabbi Gladding
Nine-banded armadillo,"Drainage of R Kidney Pelvis with Drain Dev, Open Approach",Dasypus;novemcinctus,11/10/2021,Zonnya Acreman
African bush squirrel,"Replacement of L Low Eyelid with Synth Sub, Perc Approach",Paraxerus;cepapi,7/19/2021,Torrence Scalera
Zorilla,"Dilation of R Lg Intest with Intralum Dev, Perc Approach",Ictonyx;striatus,9/21/2021,Renie Swatheridge
"Woodpecker, red-headed","Destruction of Splenic Artery, Open Approach",Melanerpes;erythrocephalus,3/10/2022,Stoddard Regenhardt
European spoonbill,"Bypass R Ext Iliac Art to R Femor A w Nonaut Sub, Perc Endo",Platalea;leucordia,5/1/2021,Adriaens Minghella
Common eland,"Excision of Ascending Colon, Percutaneous Approach, Diagn",Taurotagus;oryx,1/16/2022,Ernst Perham
Two-toed tree sloth,"Supplement Left Foot Artery with Nonaut Sub, Open Approach",Choloepus;hoffmani,2/1/2022,Waite Newlands
Pale-throated three-toed sloth,"Revision of Infusion Device in Neck, Open Approach",Bradypus;tridactylus,9/7/2021,Glori Hanscomb
"Lechwe, kafue flats","Bypass Splenic Art to R Renal A w Autol Art, Perc Endo",Kobus;leche;robertsi,3/31/2022,Brittan Lowrance
Chital,"Inspection of Cervicothoracic Vertebral Disc, Open Approach",Axis;axis,9/3/2021,Naomi Bruneau
"Curlew, black","Replace R Low Arm & Wrist Tendon w Autol Sub, Perc Endo",Haematopus;ater,6/16/2021,Ignazio Cripin
Red-shouldered glossy starling,"Drainage of Left Metacarpocarpal Joint, Perc Approach",Lamprotornis;nitens,10/10/2021,Kaitlyn Pavitt
"Civet, common palm",Planar Nucl Med Imag of Chest & Neck using Oth Radionuclide,Paradoxurus;hermaphroditus,11/6/2021,Calv Capaldi
"Owl, snowy","Revision of Infusion Device in Resp Tract, Via Opening",Nyctea;scandiaca,6/5/2021,Siobhan Blowen
"Dove, emerald-spotted wood","Excision of Left Submaxillary Gland, Open Approach",Turtur;chalcospilos,11/26/2021,Haily Morrison
Bateleur eagle,"Excision of Left Nipple, Via Opening, Diagn",Terathopius;ecaudatus,2/10/2022,Marty Waye
"Jacana, african","Dilation of 4+ Cor Art, Perc Approach",Actophilornis;africanus,7/13/2021,Allyce Hillam
"Deer, black-tailed","Insertion of Infusion Device into Bladder, Via Opening",Odocoileus;hemionus,12/18/2021,Edmund Sacher
"Tinamou, elegant crested","Repair Olfactory Nerve, Percutaneous Approach",Eudromia;elegans,3/16/2022,Keely Dicty
"Mouse, four-striped grass","Repair Left Tibia, Percutaneous Approach",Rhabdomys;pumilio,8/9/2021,Lucio Castri
Indian red admiral,Removal of Pressure Dressing on Right Lower Arm,Vanessa;indica,6/1/2021,Eloisa Tofano
Python (unidentified),"Dilation of L Brach Art with 4+ Intralum Dev, Perc Approach",unavailable,6/29/2021,Page Waud
"Monkey, red howler",Stereotactic Gamma Beam Radiosurgery of Eye,Alouatta;seniculus,10/5/2021,Joell Bollum
"Gnu, brindled",Fluoroscopy of Multiple Coronary Arteries using Oth Contrast,Connochaetus;taurinus,3/29/2022,Hallsy Bolam
Small-toothed palm civet,"Release Left Internal Carotid Artery, Percutaneous Approach",Arctogalidia;trivirgata,5/10/2021,Yorker Burden
Common brushtail possum,"Replace L Low Arm Subcu/Fascia w Synth Sub, Perc",Trichosurus;vulpecula,5/17/2021,Kristin Caroline
"Seal, common","Dilation of Splenic Artery with 3 Drug-elut, Perc Approach",Phoca;vitulina,10/2/2021,Rebekah Filipiak
Eastern grey kangaroo,"Replacement of R Sacroiliac Jt with Autol Sub, Open Approach",Macropus;giganteus,12/16/2021,Elfrieda Carous
Black-collared barbet,"Restrict Hepatic Art w Intralum Dev, Perc Endo",Lybius;torquatus,7/9/2021,Marigold Montague
"Heron, boat-billed","Release Left Hip Muscle, Open Approach",Cochlearius;cochlearius,1/18/2022,Edythe Gadney
Greater adjutant stork,"Occlusion of Left Common Iliac Artery, Open Approach",Leptoptilus;dubius,8/2/2021,Dolf Lening
Ringtail cat,"Revision of Synth Sub in R Humeral Head, Perc Endo Approach",Bassariscus;astutus,7/13/2021,Ida Juares
"Lynx, african","Reposition Left Lacrimal Bone, External Approach",Felis;caracal,3/14/2022,Clarette Westcott
"Whale, killer","Destruction of Pancreatic Duct, Percutaneous Approach",Orcinus;orca,1/6/2022,Ellary O'Scully
Golden-mantled ground squirrel,"Excision of Glomus Jugulare, Perc Endo Approach, Diagn",Spermophilus;lateralis,12/9/2021,Claresta True
"Zebra, common","Dilation of Innom Art with 3 Intralum Dev, Open Approach",Equus;burchelli,7/8/2021,Sylas Sawforde
"Deer, black-tailed","Removal of Ext Fix from R Low Femur, Open Approach",Odocoileus;hemionus,9/18/2021,Enrika Bartoli
White-browed sparrow weaver,"Revision of Synth Sub in R Carpal Jt, Open Approach",Plocepasser;mahali,5/4/2021,Zacharias Meins
Australian sea lion,"Repair Urethra, Via Natural or Artificial Opening",Neophoca;cinerea,4/13/2022,Dunc Clayden
"Sloth, two-toed tree","Bypass R Int Iliac Art to B Int Ilia w Autol Art, Perc Endo",Choloepus;hoffmani,3/12/2022,Johannah Athy
Western lowland gorilla,"Drainage of R Popl Art with Drain Dev, Perc Approach",Gorilla;gorilla,12/8/2021,Sebastian Brodway
"Goose, cereopsis","Supplement Epiglottis with Nonaut Sub, Open Approach",Cereopsis;novaehollandiae,2/7/2022,Kristen Cave
Crimson-breasted shrike,"Remove Nonaut Sub from L Metacarpocarp Jt, Perc Endo",Laniaurius;atrococcineus,12/26/2021,Dawna Windas
"Shark, blue",MRI of L Ankle using Oth Contrast,Prionace;glauca,8/20/2021,Timmi Clemitt
"Anteater, australian spiny","Restrict L Int Jugular Vein w Extralum Dev, Open",Tachyglossus;aculeatus,12/13/2021,Geoff Chiene
"Cat, native","Drainage of Right Scapula, Percutaneous Approach, Diagnostic",Dasyurus;viverrinus,1/2/2022,Heather Wiltshear
"Elephant, african","Drainage of Right Adrenal Gland, Percutaneous Approach",Loxodonta;africana,11/2/2021,Melanie Duffin
Kalahari scrub robin,"Replacement of Right Testis with Synth Sub, Open Approach",Certotrichas;paena,4/27/2021,Guntar Byrne
Cape cobra,"CT Scan Bi Salivary Gland w Oth Contrast, Unenh, Enhance",Naja;nivea,12/10/2021,Sherilyn Benz
Harbor seal,"Reposition Left Lacrimal Duct, Via Opening",Phoca;vitulina,2/5/2022,Mitchel Oloshkin
Malachite kingfisher,"Destruction of Left Mastoid Sinus, Open Approach",Corythornis;cristata,1/31/2022,Theobald Pau
Bengal vulture,"Inspection of Bilateral Femoral Region, External Approach",Gyps;bengalensis,6/28/2021,Kelby Costanza
Southern right whale,"Drainage of L Trunk Bursa/Lig with Drain Dev, Perc Approach",Eubalaena;australis,10/12/2021,Jessika Scemp
Lesser flamingo,"Repair Mesenteric Lymphatic, Perc Endo Approach",Phoeniconaias;minor,1/29/2022,Tracy MacGhee
Spur-winged goose,"Dilation of R Hand Art with 2 Drug-elut, Open Approach",Plectopterus;gambensis,12/6/2021,Stan Radbone
"Lion, asian","Excision of Hemiazygos Vein, Perc Endo Approach, Diagn",Panthera;leo;persica,9/9/2021,Germain Dykins
Neotropic cormorant,"Insert of Infusion Dev into Splenic Art, Perc Endo Approach",Phalacrocorax;brasilianus,2/20/2022,Peadar Glynn
"Macaw, green-winged","Bypass L Com Iliac Art to R Ext Ilia w Synth Sub, Open",Ara;chloroptera,8/24/2021,Mile Showte
Black-tailed prairie dog,"Replacement of L Ext Ear with Synth Sub, Open Approach",Cynomys;ludovicianus,6/20/2021,Mariska Sorensen
Crowned eagle,Plain Radiography of Vasa Vasorum using Low Osmolar Contrast,Spizaetus;coronatus,6/9/2021,Jillana Sach
"Boa, mexican","Removal of Synth Sub from R Metatarsal, Perc Approach",Boa;constrictor;mexicana,7/15/2021,Benton Gimlet
Greater sage grouse,"Supplement R Up Arm Muscle with Synth Sub, Open Approach",Centrocercus;urophasianus,12/11/2021,Wes Trousdell
"Marshbird, brown and yellow","Control Bleeding in Left Lower Arm, Perc Endo Approach",Pseudoleistes;virescens,10/14/2021,Sabina Liddy
Beisa oryx,"Removal of Nonaut Sub from Up Muscle, Open Approach",Oryx;gazella,2/5/2022,Miltie Stirrup
Blue waxbill,"Extirpate matter from R Finger Phalanx, Perc Endo",Uraeginthus;angolensis,11/7/2021,Steffane Silliman
"Tamandua, southern","Release Right Abdomen Bursa and Ligament, External Approach",Tamandua;tetradactyla,1/16/2022,Regina De Robertis
"Barbet, levaillant's","Endocrine System, Repair",Trachyphonus;vaillantii,7/6/2021,Rudy Garlinge
"Goat, mountain","Change Other Device in Upper Tendon, External Approach",Oreamnos;americanus,8/10/2021,Shel Schrinel
"Gull, silver","Supplement Left Orbit with Nonaut Sub, Perc Approach",Larus;novaehollandiae,3/6/2022,Lauraine Bescoby
"Seal, northern elephant",MRI of Mult Cor A Graft using Oth Contrast,Mirounga;angustirostris,8/17/2021,Carline Tonge
"Antelope, sable","Revision of Int Fix in R Metacarpal, Extern Approach",Hippotragus;niger,12/31/2021,Joshuah Walster
African ground squirrel (unidentified),"Fusion 2-6 C Jt w Nonaut Sub, Post Appr P Col, Perc",Xerus;sp.,3/8/2022,Stan Cannon
"Eagle, bateleur","Excision of Right Maxilla, Percutaneous Approach, Diagnostic",Terathopius;ecaudatus,3/22/2022,Stace Cuniam
"Mongoose, banded","Fluoroscopy of Oth Up Art using Oth Contrast, Laser Intraop",Mungos;mungo,12/5/2021,Chan Tomaello
Short-nosed bandicoot,"Supplement Left Hand Vein with Nonaut Sub, Open Approach",Isoodon;obesulus,2/2/2022,Dallas O'Hegertie
Striated heron,"Excision of Right Hand, Percutaneous Approach, Diagnostic",Butorides;striatus,3/20/2022,Gerianne Dulany
American black bear,Change Brace on Left Upper Arm,Ursus;americanus,6/22/2021,Edwina De'Ath
"Owl, snowy","Revision of Infusion Dev in Cranial Nrv, Perc Endo Approach",Nyctea;scandiaca,12/1/2021,Wainwright Bascomb
African wild dog,"Revision of Autol Sub in L Finger Phalanx, Perc Approach",Lycaon;pictus,5/28/2021,Olwen Gilcrist
Secretary bird,"Drainage of Left Carpal Joint, Open Approach, Diagnostic",Sagittarius;serpentarius,9/28/2021,Skelly Hasker
Tailless tenrec,"Removal of Radioactive Element from Omentum, Perc Approach",Tenrec;ecaudatus,11/13/2021,Ofelia Felder
"Squirrel, nelson ground",Wound Mgmt Trmt Musculosk Up Back/UE w Assist Equip,Ammospermophilus;nelsoni,3/10/2022,Dew Padgett
Lesser double-collared sunbird,"Replacement of Urethra with Nonaut Sub, Via Opening",Nectarinia;chalybea,11/3/2021,Belia Cromar
Grey mouse lemur,"Dilate L Popl Art, Bifurc, w Drug-elut Intra, Perc Endo",Microcebus;murinus,1/4/2022,Sheilah Lefever
"Parrot, hawk-headed",Wheelchair Mobility Assessment using Orthosis,Deroptyus;accipitrinus,4/7/2022,Arliene Willmore
Toddy cat,"Extirpation of Matter from Peritoneum, Open Approach",Paradoxurus;hermaphroditus,2/6/2022,Betta Bullock
"Pelican, brown","Transfer L Low Extrem Bursa/Lig, Perc Endo Approach",Pelecanus;occidentalis,7/10/2021,Sauveur Hurn
North American river otter,"Dilation of R Ulnar Art with 4 Drug-elut, Perc Endo Approach",Lutra;canadensis,9/17/2021,Reeta Trowle
Spotted deer,"Reposition R Toe Phalanx with Ext Fix, Perc Endo Approach",Axis;axis,1/6/2022,Marianna Grindrod
"Possum, ring-tailed",Compression of Left Upper Extremity using Pressure Dressing,Pseudocheirus;peregrinus,2/27/2022,Gus Toleman
Lilac-breasted roller,"Reposition Right Fibula, Percutaneous Approach",Coracias;caudata,1/2/2022,Jasen Massot
"Shark, blue","Removal of Ext Fix from L Finger Phalanx, Extern Approach",Prionace;glauca,1/25/2022,Zechariah Lammenga
Red-billed tropic bird,"Resection of Minor Salivary Gland, Open Approach",Phaethon;aethereus,11/5/2021,Derrick Petrasch
Red-legged pademelon,"Drainage of Left Inguinal Region, Percutaneous Approach",Thylogale;stigmatica,5/6/2021,Kalindi Oldridge
Amazon parrot (unidentified),"Introduction of Oth Diagn Subst into Eye, Perc Approach",Amazona;sp.,8/5/2021,Kerby Tithecott
"Elk, Wapiti","Release Left Upper Lung Lobe, Perc Endo Approach",Cervus;canadensis,10/24/2021,Jacki Lafferty
White-throated toucan,"Supplement Bi Fallopian Tube with Nonaut Sub, Open Approach",Ramphastos;tucanus,1/22/2022,Nelia Mulroy
"Coot, red-knobbed","Destruction of Right Upper Lung Lobe, Perc Endo Approach",Fulica;cristata,9/18/2021,Ray Smythe
"Roadrunner, greater","Removal of Nonaut Sub from Trachea, Endo",Geococcyx;californianus,10/20/2021,Tudor Casbourne
Crested barbet,"Drainage of Sigmoid Colon with Drain Dev, Perc Endo Approach",Trachyphonus;vaillantii,9/2/2021,Averil Gifford
Magellanic penguin,"Reposition Products of Conception, Ectopic, Endo",Spheniscus;magellanicus,12/14/2021,Dew Goodie
Little blue penguin,"Destruction of Left Pulmonary Vein, Percutaneous Approach",Eudyptula;minor,6/1/2021,Bev Courtese
Yellow-brown sungazer,"Restriction of Right Peroneal Artery, Percutaneous Approach",Cordylus;giganteus,7/18/2021,Luisa Rapport
"Ibis, glossy","Reposition Ulnar Nerve, Percutaneous Endoscopic Approach",Plegadis;falcinellus,4/29/2021,Roshelle Durnan
Roseate cockatoo,"Control Bleeding in Left Elbow Region, Percutaneous Approach",Eolophus;roseicapillus,10/20/2021,Pavia Gegg
"Avocet, pied","Revision of Autol Sub in L Shoulder Jt, Extern Approach",Recurvirostra;avosetta,10/30/2021,Ginnifer Fakeley
"Grenadier, purple","Introduce Electrol/Water Bal in Bil/Panc Tract, Perc",Uraeginthus;granatina,7/4/2021,Aubrette Westmancoat
Pacific gull,"Bypass Spinal Canal to Pleural Cav w Autol Sub, Perc",Gabianus;pacificus,9/5/2021,Cirillo Esmonde
"Crab, red lava","Supplement Upper Gingiva with Autol Sub, Perc Approach",Graspus;graspus,2/9/2022,Yevette Quixley
Ground legaan,"Restrict L Low Extrem Lymph w Extralum Dev, Perc",Varanus;sp.,3/2/2022,Adora Van der Kruis
Malachite kingfisher,"Removal of Infusion Device from Liver, Perc Endo Approach",Corythornis;cristata,4/10/2022,Kathi McJury
Potoroo,"Division of Peroneal Nerve, Open Approach",Potorous;tridactylus,10/3/2021,Teresina Starsmeare
Mudskipper (unidentified),"Excision of Left Knee Tendon, Open Approach, Diagnostic",unavailable,4/17/2021,Dunc Clawley
"Stork, black-necked","Destruction of Left Temporal Bone, Open Approach",Ephippiorhynchus;mycteria,12/5/2021,Greggory Beardsley
Roe deer,"Fusion R Acromioclav Jt w Autol Sub, Perc Endo",Capreolus;capreolus,7/22/2021,Nicole Manoch
"Vulture, white-headed","Excision of Right Trunk Bursa and Ligament, Open Approach",Aegypius;occipitalis,2/8/2022,Bertram Danilchenko
Green-winged trumpeter,"Drainage of Subarachnoid Space, Open Approach",Psophia;viridis,6/29/2021,Bruis Hruska
"Stork, openbill","Bypass R Com Iliac Art to B Int Ilia w Synth Sub, Perc Endo",Anastomus;oscitans,11/5/2021,Zorah Cesaric
"Bird, black-throated butcher","Supplement Cerv Disc with Synth Sub, Perc Approach",Cracticus;nigroagularis,12/16/2021,Dew Tetsall
"Vulture, lappet-faced","Transfer Facial Nerve to Hypoglossal Nerve, Open Approach",Aegypius;tracheliotus,7/19/2021,Brigid Dace
Eurasian red squirrel,"Repair Inferior Vena Cava, Percutaneous Approach",Sciurus;vulgaris,5/24/2021,Elvis Grindle
Stanley crane,"Supplement Aortic Valve with Zooplastic, Perc Endo Approach",Anthropoides;paradisea,3/5/2022,Alexi Mouncher
